,시즌,날짜,시간,구장,팀 선발,T,결과,상대팀,상대선발,T.1,승리투수,패전투수,세이브,관중,성적,연도,월,홈팀
879,정규,08월 11일,18시30분,잠실,정찬헌,R,L 4:8,KIA,양현종,L,양현종,정찬헌,,3169,43-36-1,2020,8,LG
880,정규,08월 12일,18시30분,잠실,임찬규,R,W 8:0,KIA,브룩스,,임찬규,브룩스,,4236,44-36-1,2020,8,LG
881,정규,08월 13일,18시30분,잠실,켈리,,W 4:2,KIA,이민우,,켈리,이민우,고우석,3558,45-36-1,2020,8,LG
940,정규,10월 16일,18시30분,잠실,켈리,,W 9:0,KIA,가뇽,,켈리,가뇽,,5490,76-58-3,2020,10,LG
941,정규,10월 17일,17시,잠실,남호,,W 11:8,KIA,김기훈,,송은범,김기훈,,6686,77-58-3,2020,10,LG
942,정규,10월 18일,14시,잠실,이민호,,L 0:4,KIA,양현종,L,양현종,이민호,,6686,77-59-3,2020,10,LG
946,정규,10월 28일,18시30분,잠실,임찬규,R,L 6:7,한화,김이환,,김진영,고우석,김종수,6775,79-60-4,2020,10,LG
955,정규,04월 09일,18시30분,잠실,함덕주,L,W 9:5,SSG,이건욱,R,진해수,조영우,,2414,4-1-0,2021,4,LG
956,정규,04월 10일,14시,잠실,켈리,,L 3:4,SSG,르위키,,김태훈,정우영,김상수,2431,4-2-0,2021,4,LG
957,정규,04월 11일,14시,잠실,수아레즈,,W 1:0,SSG,박종훈,RU,수아레즈,조영우,고우석,2454,5-2-0,2021,4,LG
961,정규,04월 16일,18시30분,잠실,켈리,,W 1:0,두산,로켓,,켈리,로켓,고우석,2442,8-3-0,2021,4,LG
962,정규,04월 17일,17시,잠실,수아레즈,,L 1:3,두산,최원준,R,최원준,수아레즈,김강률,2472,8-4-0,2021,4,LG
963,정규,04월 18일,14시,잠실,이민호,,L 1:9,두산,미란다,,미란다,이민호,,2472,8-5-0,2021,4,LG
964,정규,04월 20일,18시30분,잠실,정찬헌,R,L 3:6,KIA,브룩스,,브룩스,정찬헌,정해영,2453,8-6-0,2021,4,LG
965,정규,04월 21일,18시30분,잠실,함덕주,L,W 7:3,KIA,김유신,,김윤식,고영창,,2457,9-6-0,2021,4,LG
966,정규,04월 22일,18시30분,잠실,켈리,,L 2:3,KIA,이의리,,정해영,고우석,,2472,9-7-0,2021,4,LG
970,정규,04월 27일,18시30분,잠실,정찬헌,R,W 4:0,롯데,노경은,R,정찬헌,노경은,,2347,12-8-0,2021,4,LG
971,정규,04월 28일,18시30분,잠실,켈리,,L 0:3,롯데,스트레일리,,스트레일리,켈리,김원중,2455,12-9-0,2021,4,LG
972,정규,04월 29일,18시30분,잠실,수아레즈,,W 3:2,롯데,프랑코,,정우영,최준용,고우석,2472,13-9-0,2021,4,LG
980,정규,05월 08일,17시,잠실,정찬헌,R,W 11:2,한화,킹엄,,정찬헌,킹엄,,2441,16-12-0,2021,5,LG
982,정규,05월 09일,17시,잠실,배재준,R,L 4:5,한화,장시환,R,김범수,함덕주,정우람,2472,16-13-0,2021,5,LG
983,정규,05월 09일,14시,잠실,이민호,,W 11:1,한화,김민우,R,이민호,김민우,,2472,17-13-0,2021,5,LG
987,정규,05월 14일,18시30분,잠실,정찬헌,R,W 4:3,삼성,뷰캐넌,,김대유,임현준,고우석,2472,19-15-0,2021,5,LG
988,정규,05월 15일,17시,잠실,이민호,,W 14:4,삼성,최채흥,,이민호,최채흥,,2455,20-15-0,2021,5,LG
990,정규,05월 17일,18시30분,잠실,켈리,,L 1:3,삼성,이승민,,최지광,고우석,오승환,1975,20-16-0,2021,5,LG
991,정규,05월 18일,18시30분,잠실,수아레즈,,W 1:0,NC,루친스키,,수아레즈,루친스키,고우석,2428,21-16-0,2021,5,LG
992,정규,05월 19일,14시,잠실,이상영,,W 6:5,NC,신민혁,,송은범,문경찬,,2472,22-16-0,2021,5,LG
993,정규,05월 20일,18시30분,잠실,정찬헌,R,L 1:11,NC,김영규,,김영규,정찬헌,,1929,22-17-0,2021,5,LG
1000,정규,05월 28일,18시30분,잠실,켈리,,W 3:1,키움,요키시,,켈리,요키시,고우석,2409,25-20-0,2021,5,LG
1001,정규,05월 29일,17시,잠실,이민호,,L 2:7,키움,한현희,RU,한현희,이민호,조상우,2429,25-21-0,2021,5,LG
1002,정규,05월 30일,14시,잠실,수아레즈,,W 8:2,키움,최원태,R,수아레즈,최원태,,2472,26-21-0,2021,5,LG
1003,정규,06월 01일,18시30분,잠실,이상영,,L 1:8,KT,고영표,RU,고영표,이상영,,1656,26-22-0,2021,6,LG
1004,정규,06월 02일,18시30분,잠실,정찬헌,R,W 6:5,KT,배제성,R,김대유,안영명,고우석,1820,27-22-0,2021,6,LG
1009,정규,06월 08일,18시30분,잠실,켈리,,W 2:1,NC,파슨스,,김윤식,임창민,고우석,1847,30-23-0,2021,6,LG
1010,정규,06월 09일,18시30분,잠실,이우찬,L,W 6:3,NC,김영규,,이상영,최금강,고우석,1736,31-23-0,2021,6,LG
1011,정규,06월 10일,18시30분,잠실,이민호,,L 0:6,NC,루친스키,,루친스키,이민호,,1624,31-24-0,2021,6,LG
1012,정규,06월 11일,18시30분,잠실,수아레즈,,W 3:1,두산,박종기,R,정우영,이승진,고우석,2472,32-24-0,2021,6,LG
1013,정규,06월 12일,17시,잠실,차우찬,L,L 3:8,두산,미란다,,홍건희,최성훈,,2472,32-25-0,2021,6,LG
1014,정규,06월 13일,17시,잠실,정찬헌,R,W 2:0,두산,곽빈,,정찬헌,곽빈,고우석,2472,33-25-0,2021,6,LG
1018,정규,06월 18일,18시30분,잠실,차우찬,L,W 5:0,KIA,김유신,,차우찬,김유신,,4860,36-26-0,2021,6,LG
1019,정규,06월 19일,17시,잠실,정찬헌,R,W 7:2,KIA,이민우,,정찬헌,이민우,고우석,7405,37-26-0,2021,6,LG
1020,정규,06월 20일,17시,잠실,켈리,,W 6:0,KIA,차명진,R,켈리,차명진,,6602,38-26-0,2021,6,LG
1029,정규,06월 30일,18시30분,잠실,수아레즈,,L 3:4,KT,고영표,RU,고영표,이정용,김재윤,2851,41-30-0,2021,6,LG
1031,정규,07월 01일,18시30분,잠실,임찬규,R,L 1:6,KT,배제성,R,배제성,임찬규,,2919,41-31-0,2021,7,LG
1032,정규,07월 02일,18시30분,잠실,켈리,,L 3:5,한화,김민우,R,김민우,켈리,,4589,41-32-0,2021,7,LG
1034,정규,07월 04일,17시,잠실,이민호,,W 5:0,한화,윤대경,R,이민호,윤대경,,3428,42-32-0,2021,7,LG
1035,정규,07월 05일,18시30분,잠실,차우찬,L,W 7:6,한화,김기중,,고우석,정우람,,2075,43-32-0,2021,7,LG
1114,정규,10월 19일,18시30분,잠실,임찬규,R,L 4:5,키움,안우진,,안우진,임찬규,김태훈,1624,69-55-9,2021,10,LG
1115,정규,10월 20일,18시30분,잠실,켈리,,L 5:6,키움,최원태,R,최원태,켈리,김태훈,1606,69-56-9,2021,10,LG
1116,정규,10월 21일,18시30분,잠실,임준형,,D 5:5,키움,정찬헌,R,,,,1617,69-56-10,2021,10,LG
1120,정규,10월 25일,18시30분,잠실,켈리,,D 4:4,롯데,박세웅,R,,,,3249,69-57-13,2021,10,LG
1126,정규,11월 04일,18시30분,잠실,수아레즈,,L 1:5,두산,최원준,R,최원준,수아레즈,,19846,72-59-14,2021,11,LG
1128,정규,11월 07일,14시,잠실,임찬규,R,L 3:10,두산,김민규,,이영하,임찬규,,23800,73-60-14,2021,11,LG
